month,monthNumber,principalOutstandingStart,emi,emiPaid,emiLeftOrExtra,principalInEMI,principalPaid,principalLeftOrExtra,interestInEMI,interestPaid,interestLeft,additionalPrincipal,effectiveRatePerPeriod
Feb 2023,1,1380000.00,17856.86,17856.86,0.00,6931.86,6931.86,0.00,10925.00,10925.00,0.00,0.00,0.79167%
Mar 2023,2,1373068.14,17856.86,17856.86,100000.00,6986.74,106986.74,100000.00,10870.12,10870.12,0.00,0.00,0.79167%
Apr 2023,3,1266081.40,18046.29,18046.29,100000.00,7759.38,107759.38,100000.00,10286.91,10286.91,0.00,0.00,0.81250%
May 2023,4,1158322.01,18046.29,18046.29,40000.00,8634.93,48634.93,40000.00,9411.37,9411.37,0.00,0.00,0.81250%
Jun 2023,5,1109687.09,18046.29,18046.29,160000.00,9030.09,169030.09,160000.00,9016.21,9016.21,0.00,0.00,0.81250%
Jul 2023,6,940657.00,18046.29,18046.29,0.00,10403.46,10403.46,0.00,7642.84,7642.84,0.00,0.00,0.81250%
Aug 2023,7,930253.55,18046.29,18046.29,123000.00,10487.98,133487.98,123000.00,7558.31,7558.31,0.00,0.00,0.81250%
Sep 2023,8,796765.56,18046.29,18046.29,100000.00,11572.57,111572.57,100000.00,6473.72,6473.72,0.00,0.00,0.81250%
Oct 2023,9,685192.99,18046.29,18046.29,107000.00,12479.10,119479.10,107000.00,5567.19,5567.19,0.00,0.00,0.81250%
Nov 2023,10,565713.89,18046.29,18046.29,36500.00,13449.87,49949.87,36500.00,4596.43,4596.43,0.00,0.00,0.81250%
Dec 2023,11,515764.02,18046.29,18046.29,36500.00,13855.71,50355.71,36500.00,4190.58,4190.58,0.00,0.00,0.81250%
Jan 2024,12,465408.31,18046.29,18046.29,150000.00,14264.85,164264.85,150000.00,3781.44,3781.44,0.00,0.00,0.81250%
Feb 2024,13,301143.46,18046.29,18046.29,36500.00,15599.50,52099.50,36500.00,2446.79,2446.79,0.00,0.00,0.81250%
Mar 2024,14,249043.96,18046.29,18046.29,63150.00,15970.93,79120.93,63150.00,2075.37,2075.37,0.00,0.00,0.83333%
Apr 2024,15,169923.03,18046.29,18046.29,160000.00,16630.27,176630.27,160000.00,1416.03,1416.03,0.00,0.00,0.83333%
May 2024,16,-6707.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000%